sentences 	 labels
reuters - short-sellers, wall street's dwindling\band of ultra-cynics, are seeing green again .  	 2
reuters - private investment firm carlyle group,\which has a reputation for making well-timed and occasionally\controversial plays in the defense industry, has quietly placed\its bets on another part of the market .  	 2
reuters - soaring crude prices plus worries\about the economy and the outlook for earnings are expected to\hang over the stock market next week during the depth of the\summer doldrums .  	 2
reuters - authorities have halted oil export\flows from the main pipeline in southern iraq after\intelligence showed a rebel militia could strike\infrastructure, an oil official said on saturday .  	 2
afp - tearaway world oil prices, toppling records and straining wallets, present a new economic menace barely three months before the us presidential elections .  	 2
reuters - stocks ended slightly higher on friday\but stayed near lows for the year as oil prices surged past  #36;46\a barrel, offsetting a positive outlook from computer maker\dell inc. (dell.o)  	 2
ap - assets of the nation's retail money market mutual funds fell by  #36;1.17 billion in the latest week to  #36;849.98 trillion, the investment company institute said thursday .  	 2
usatoday.com - retail sales bounced back a bit in july, and new claims for jobless benefits fell last week, the government said thursday, indicating the economy is improving from a midsummer slump .  	 2
forbes.com - after earning a ph.d. in sociology, danny bazil riley started to work as the general manager at a commercial real estate firm at an annual base salary of  #36;70,000. soon after, a financial planner stopped by his desk to drop off brochures about insurance benefits available through his employer. but, at 32, "buying insurance was the furthest thing from my mind," says riley .  	 2
new york (reuters) - short-sellers, wall street's dwindling  band of ultra-cynics, are seeing green again .  	 2
new york (reuters) - soaring crude prices plus worries  about the economy and the outlook for earnings are expected to  hang over the stock market next week during the depth of the  summer doldrums .  	 2
tehran (reuters) - opec can do nothing to douse scorching  oil prices when markets are already oversupplied by 2.8 million  barrels per day (bpd) of crude, iran's opec governor said  saturday, warning that prices could fall sharply .  	 2
jakarta (reuters) - non-opec oil exporters should consider  increasing output to cool record crude prices, opec president  purnomo yusgiantoro said on sunday .  	 2
washington/new york (reuters) - the auction for google  inc.'s highly anticipated initial public offering got off to a  rocky start on friday after the web search company sidestepped  a bullet from u.s. securities regulators .  	 2
new york (reuters) - the dollar tumbled broadly on friday  after data showing a record u.s. trade deficit in june cast  fresh doubts on the economy's recovery and its ability to draw  foreign capital to fund the growing gap .  	 2
if you think you may need to help your elderly relatives with their finances, don't be shy about having the money talk -- soon .  	 2
the purchasing power of kids is a big part of why the back-to-school season has become such a huge marketing phenomenon .  	 2
there is little cause for celebration in the stock market these days, but investors in value-focused mutual funds have reason to feel a bit smug -- if only because they've lost less than the folks who stuck with growth .  	 2
the us trade deficit has exploded 19 to a record \$55.8bn as oil costs drove imports higher, according to a latest figures .  	 2
oil giant shell could be bracing itself for a takeover attempt, possibly from french rival total, a  press report claims .  	 2
the bidding gets underway for google's public offering, despite last-minute worries over an interview with its bosses in playboy magazine .  	 2
official figures show the 12-nation eurozone economy continues to grow, but there are warnings it may slow down later in the year .  	 2
economic growth in japan slows down as the country experiences a drop in domestic and corporate spending .  	 2
interest rates are trimmed to 7.5 by the south african central bank,  but the lack of warning hits the rand and surprises markets .  	 2
the cost of buying both new and second hand cars fell sharply over the past five years, a new survey has found .  	 2
south korea's central bank cuts interest rates by a quarter percentage point to 3.5 in a bid to drive growth in the economy .  	 2
an auction of shares in google, the web search engine which could be floated for as much as \$36bn, takes place on friday .  	 2
hewlett-packard shares fall after disappointing third-quarter profits, while the firm warns the final quarter will also fall short of expectations .  	 2
one of the oldest textile operators on the indian ocean island of mauritius last week shut seven factories and cut 900 jobs .  	 2
